step,variable,mae,n
10,gcs_total,0.4269985013589316,2405
10,lactate,0.5628108813945962,200
10,creatinine,0.1065375101291789,1048
10,bun,1.449459601694804,1047
10,wbc,0.7777590581933252,961
10,hemoglobin,0.18039031033568012,966
10,bicarbonate,0.31911970392008865,1034
10,glucose_lab,6.789619854650158,1028
10,potassium,0.05253277219895076,1072
10,sodium,0.5681421411040352,1078
10,anion_gap,0.2373398951319441,1034
10,albumin,0.06265188006741343,147
10,platelets,5.598703756663398,967
10,bilirubin_total,0.13243237752192374,276
10,magnesium,0.03482236656229776,1021
11,heart_rate,5.470694365904937,2408
11,arterial_bp_mean,5.194850164735748,1097
11,respiratory_rate,8.263214337855308,2408
11,spo2,1.0182356771820706,2408
11,temperature_f,0.3398082774370891,2382
11,gcs_total,0.4192051701163326,2405
11,lactate,0.5649414747608913,200
11,creatinine,0.10673645640802665,1048
11,bun,1.4532966397727647,1047
11,wbc,0.7841051429904675,961
11,hemoglobin,0.18039491216015027,966
11,bicarbonate,0.3228579897910361,1034
11,glucose_lab,6.745062773834133,1028
11,potassium,0.052433690616550864,1072
11,sodium,0.5646219607078758,1078
11,anion_gap,0.2401917990791118,1034
11,albumin,0.06217927309431989,147
11,platelets,5.606617424766825,967
11,bilirubin_total,0.12836387221827175,276
11,magnesium,0.03429369861963864,1021
12,heart_rate,5.390487873119438,2408
12,arterial_bp_mean,5.688075245333131,1097
12,respiratory_rate,8.592343036378626,2408
12,spo2,0.9936496565609453,2408
12,temperature_f,0.335295099890428,2382
12,gcs_total,0.4239524193873428,2405
12,lactate,0.5624886808131344,200
12,creatinine,0.10739874954079531,1048
12,bun,1.4585329055935645,1047
12,wbc,0.785917561438607,961
12,hemoglobin,0.18031165922121492,966
12,bicarbonate,0.32129673160898164,1034
12,glucose_lab,6.796151705289753,1028
12,potassium,0.05244314553626487,1072
12,sodium,0.5625588330289831,1078
12,anion_gap,0.23976995586618463,1034
12,albumin,0.062263449385910885,147
12,platelets,5.624498556621148,967
